Avr_L: 33.2555    Avr_b: 14.7154   Avr_Chroma: 17.2749 
Avr_L: 39.4267    Avr_b: 14.9415   Avr_Chroma: 16.3704 
Avr_L: 38.0677    Avr_b: 17.4336   Avr_Chroma: 19.1618 
Avr_L: 33.3357    Avr_b: 14.5175   Avr_Chroma: 17.2689 
Avr_L: 39.0433    Avr_b: 14.9632   Avr_Chroma: 16.4982 
Avr_L: 38.9734    Avr_b: 17.2490   Avr_Chroma: 19.0039 
Avr_L: 26.7372    Avr_b: 14.9434   Avr_Chroma: 18.3437 
Avr_L: 38.9653    Avr_b: 14.6282   Avr_Chroma: 16.1578 
Avr_L: 39.1166    Avr_b: 16.8276   Avr_Chroma: 18.6312 
Avr_L: 30.8004    Avr_b: 19.7461   Avr_Chroma: 22.5885 
Avr_L: 27.1103    Avr_b: 14.5719   Avr_Chroma: 18.1700 
Avr_L: 39.2263    Avr_b: 14.3747   Avr_Chroma: 16.0079 
Avr_L: 38.9966    Avr_b: 16.6263   Avr_Chroma: 18.5189 
Avr_L: 32.0756    Avr_b: 19.2354   Avr_Chroma: 22.1783 
Avr_L: 27.3503    Avr_b: 14.3904   Avr_Chroma: 18.1948 
Avr_L: 30.3098    Avr_b: 13.4185   Avr_Chroma: 15.5668 
Avr_L: 39.2090    Avr_b: 14.7709   Avr_Chroma: 16.4121 
Avr_L: 39.3618    Avr_b: 16.5071   Avr_Chroma: 18.4227 
Avr_L: 32.7451    Avr_b: 19.5856   Avr_Chroma: 22.5106 
Avr_L: 26.8560    Avr_b: 14.6212   Avr_Chroma: 18.3581 
Avr_L: 32.3350    Avr_b: 13.6380   Avr_Chroma: 16.0724 
Avr_L: 39.9561    Avr_b: 16.4491   Avr_Chroma: 18.4219 
Avr_L: 33.2365    Avr_b: 18.9032   Avr_Chroma: 22.0257 
Avr_L: 33.4250    Avr_b: 13.3993   Avr_Chroma: 15.9594 
Avr_L: 40.5121    Avr_b: 16.1062   Avr_Chroma: 18.1932 
Avr_L: 33.5376    Avr_b: 19.0799   Avr_Chroma: 22.1064 
Avr_L: 34.2322    Avr_b: 13.4021   Avr_Chroma: 16.1519 
Avr_L: 33.7776    Avr_b: 19.0915   Avr_Chroma: 22.2481 
Avr_L: 36.6380    Avr_b: 21.4905   Avr_Chroma: 23.0964 
Avr_L: 34.1384    Avr_b: 13.5737   Avr_Chroma: 16.2865 
Avr_L: 33.7657    Avr_b: 19.2384   Avr_Chroma: 22.4036 
Avr_L: 38.1324    Avr_b: 20.8308   Avr_Chroma: 22.4731 
Avr_L: 34.2794    Avr_b: 13.4922   Avr_Chroma: 16.2629 
Avr_L: 40.4319    Avr_b: 19.7899   Avr_Chroma: 21.2357 
Avr_L: 38.6780    Avr_b: 20.7810   Avr_Chroma: 22.4010 
Avr_L: 34.6523    Avr_b: 13.6531   Avr_Chroma: 16.5075 
Avr_L: 41.9072    Avr_b: 19.5179   Avr_Chroma: 21.0309 
Avr_L: 39.1502    Avr_b: 20.1031   Avr_Chroma: 21.8695 
Avr_L: 34.7416    Avr_b: 13.4877   Avr_Chroma: 16.4825 
Avr_L: 43.0298    Avr_b: 18.8415   Avr_Chroma: 20.4624 
Avr_L: 39.4288    Avr_b: 19.9639   Avr_Chroma: 21.7600 
Avr_L: 32.3199    Avr_b: 17.3853   Avr_Chroma: 19.2636 
Avr_L: 33.9000    Avr_b: 18.1028   Avr_Chroma: 20.5429 
Avr_L: 43.3716    Avr_b: 18.6498   Avr_Chroma: 20.4091 
Avr_L: 39.6805    Avr_b: 19.6490   Avr_Chroma: 21.6463 
Avr_L: 34.5395    Avr_b: 17.5618   Avr_Chroma: 19.5611 
Avr_L: 35.2602    Avr_b: 17.5287   Avr_Chroma: 20.0807 
Avr_L: 43.1963    Avr_b: 18.9670   Avr_Chroma: 20.7134 
Avr_L: 39.4118    Avr_b: 19.8568   Avr_Chroma: 21.9644 
Avr_L: 35.5543    Avr_b: 17.4018   Avr_Chroma: 19.2987 
Avr_L: 35.8746    Avr_b: 17.0305   Avr_Chroma: 19.8032 
Avr_L: 43.3315    Avr_b: 18.6549   Avr_Chroma: 20.5219 
Avr_L: 36.1295    Avr_b: 17.6924   Avr_Chroma: 19.5877 
Avr_L: 36.1457    Avr_b: 16.8832   Avr_Chroma: 18.8745 
Avr_L: 35.5776    Avr_b: 17.1558   Avr_Chroma: 20.0511 
Avr_L: 43.4821    Avr_b: 18.5303   Avr_Chroma: 20.4769 
Avr_L: 37.2014    Avr_b: 17.6414   Avr_Chroma: 19.5734 
Avr_L: 36.1867    Avr_b: 16.7749   Avr_Chroma: 18.8340 
Avr_L: 37.5718    Avr_b: 17.1889   Avr_Chroma: 19.1776 
Avr_L: 36.3552    Avr_b: 16.2678   Avr_Chroma: 18.5583 
Avr_L: 32.9720    Avr_b: 16.3494   Avr_Chroma: 18.9653 
Avr_L: 37.2822    Avr_b: 17.1625   Avr_Chroma: 19.2159 
Avr_L: 33.5734    Avr_b: 16.5022   Avr_Chroma: 19.1551 
Avr_L: 37.2931    Avr_b: 17.2487   Avr_Chroma: 19.3573 
Avr_L: 35.1393    Avr_b: 18.6321   Avr_Chroma: 20.9028 
Avr_L: 34.1013    Avr_b: 15.9480   Avr_Chroma: 18.6989 
Avr_L: 37.4631    Avr_b: 16.8814   Avr_Chroma: 19.1073 
Avr_L: 36.4864    Avr_b: 18.9016   Avr_Chroma: 20.9824 
Avr_L: 34.3224    Avr_b: 15.9437   Avr_Chroma: 18.8129 
Avr_L: 37.1263    Avr_b: 18.7540   Avr_Chroma: 20.8064 
Avr_L: 34.2181    Avr_b: 15.9041   Avr_Chroma: 18.8326 
Avr_L: 35.7683    Avr_b: 20.0646   Avr_Chroma: 22.2528 
Avr_L: 37.0012    Avr_b: 18.4709   Avr_Chroma: 20.6308 
Avr_L: 33.5823    Avr_b: 15.8143   Avr_Chroma: 18.8577 
Avr_L: 38.9708    Avr_b: 15.4798   Avr_Chroma: 16.5076 
Avr_L: 37.1898    Avr_b: 19.7363   Avr_Chroma: 22.0319 
Avr_L: 36.8668    Avr_b: 18.2024   Avr_Chroma: 20.5095 
Avr_L: 40.1876    Avr_b: 14.8935   Avr_Chroma: 16.0148 
Avr_L: 37.9310    Avr_b: 19.2765   Avr_Chroma: 21.6626 
Avr_L: 36.7892    Avr_b: 18.3481   Avr_Chroma: 20.7153 
Avr_L: 40.9700    Avr_b: 14.2334   Avr_Chroma: 15.4629 
Avr_L: 37.7602    Avr_b: 19.5086   Avr_Chroma: 21.9378 
Avr_L: 46.7895    Avr_b: 12.9587   Avr_Chroma: 13.8785 
Avr_L: 36.5484    Avr_b: 18.5469   Avr_Chroma: 21.0021 
Avr_L: 41.2696    Avr_b: 14.1390   Avr_Chroma: 15.4151 
Avr_L: 37.7500    Avr_b: 19.4336   Avr_Chroma: 22.0036 
Avr_L: 48.3018    Avr_b: 12.4557   Avr_Chroma: 13.5616 
Avr_L: 41.6464    Avr_b: 13.3160   Avr_Chroma: 14.9062 
Avr_L: 37.7742    Avr_b: 19.3080   Avr_Chroma: 21.9391 
Avr_L: 48.3200    Avr_b: 12.3842   Avr_Chroma: 13.6375 
Avr_L: 48.4821    Avr_b: 12.1830   Avr_Chroma: 13.5241 
Avr_L: 29.1010    Avr_b: 14.4298   Avr_Chroma: 17.8391 
Avr_L: 48.5026    Avr_b: 11.7633   Avr_Chroma: 13.3630 
Avr_L: 29.9752    Avr_b: 14.6730   Avr_Chroma: 18.2284 
Avr_L: 48.2181    Avr_b: 11.4561   Avr_Chroma: 13.1696 
Avr_L: 30.4780    Avr_b: 14.6387   Avr_Chroma: 18.3010 
Avr_L: 32.2939    Avr_b: 16.8222   Avr_Chroma: 19.0827 
Avr_L: 34.4332    Avr_b: 18.0402   Avr_Chroma: 20.0758 
Avr_L: 30.2485    Avr_b: 14.9674   Avr_Chroma: 18.5347 
Avr_L: 33.5194    Avr_b: 16.9660   Avr_Chroma: 19.1289 
Avr_L: 36.3138    Avr_b: 17.5203   Avr_Chroma: 19.6778 
Avr_L: 30.3687    Avr_b: 14.9094   Avr_Chroma: 18.5784 
Avr_L: 34.3482    Avr_b: 16.5862   Avr_Chroma: 18.7550 
Avr_L: 37.0643    Avr_b: 17.1332   Avr_Chroma: 19.4768 
Avr_L: 30.6601    Avr_b: 15.2349   Avr_Chroma: 18.8970 
Avr_L: 40.6770    Avr_b: 16.8901   Avr_Chroma: 18.0967 
Avr_L: 34.4586    Avr_b: 16.6718   Avr_Chroma: 19.0142 
Avr_L: 37.0742    Avr_b: 17.1399   Avr_Chroma: 19.4850 
Avr_L: 30.5031    Avr_b: 15.5030   Avr_Chroma: 19.1547 
Avr_L: 41.9069    Avr_b: 16.7437   Avr_Chroma: 17.8748 
Avr_L: 34.1657    Avr_b: 16.5809   Avr_Chroma: 19.0837 
Avr_L: 38.8123    Avr_b: 18.6512   Avr_Chroma: 20.1392 
Avr_L: 42.4481    Avr_b: 16.3730   Avr_Chroma: 17.5672 
Avr_L: 34.4185    Avr_b: 16.3033   Avr_Chroma: 18.8183 
Avr_L: 25.1106    Avr_b: 13.3663   Avr_Chroma: 16.4245 
