Avr_L: 15.0262    Avr_b: 1.8950   Avr_Chroma: 7.0279 
Avr_L: 15.0578    Avr_b: 1.5788   Avr_Chroma: 6.8299 
Avr_L: 15.4885    Avr_b: 1.5868   Avr_Chroma: 7.0235 
Avr_L: 18.8958    Avr_b: 6.1961   Avr_Chroma: 8.9879 
Avr_L: 15.9609    Avr_b: 1.8644   Avr_Chroma: 6.9990 
Avr_L: 20.2912    Avr_b: 6.4805   Avr_Chroma: 9.1344 
Avr_L: 15.6244    Avr_b: 2.2426   Avr_Chroma: 7.1814 
Avr_L: 21.1866    Avr_b: 6.1227   Avr_Chroma: 9.1588 
Avr_L: 21.5715    Avr_b: 5.8077   Avr_Chroma: 9.2351 
Avr_L: 21.1976    Avr_b: 5.9415   Avr_Chroma: 9.2616 
Avr_L: 21.0229    Avr_b: 6.1547   Avr_Chroma: 9.5582 
Avr_L: 21.1559    Avr_b: 6.5345   Avr_Chroma: 9.7150 
Avr_L: 13.2283    Avr_b: -0.3065   Avr_Chroma: 5.6949 
Avr_L: 14.0973    Avr_b: -1.2254   Avr_Chroma: 6.5226 
Avr_L: 14.5490    Avr_b: -0.8726   Avr_Chroma: 6.5431 
Avr_L: 13.8954    Avr_b: -0.7473   Avr_Chroma: 6.1574 
Avr_L: 13.3945    Avr_b: -0.8072   Avr_Chroma: 6.1763 
Avr_L: 13.3773    Avr_b: -0.5032   Avr_Chroma: 5.8588 
Avr_L: 13.3846    Avr_b: -0.2024   Avr_Chroma: 5.7760 
Avr_L: 13.3584    Avr_b: 2.8668   Avr_Chroma: 6.7669 
Avr_L: 14.2729    Avr_b: 2.4734   Avr_Chroma: 6.8243 
Avr_L: 13.7931    Avr_b: 3.8003   Avr_Chroma: 8.4404 
Avr_L: 14.9241    Avr_b: 2.4423   Avr_Chroma: 6.8313 
Avr_L: 14.8624    Avr_b: 2.9688   Avr_Chroma: 8.2349 
Avr_L: 15.5517    Avr_b: 2.0582   Avr_Chroma: 7.0573 
Avr_L: 14.7772    Avr_b: 3.1666   Avr_Chroma: 8.3206 
Avr_L: 15.7832    Avr_b: 1.9521   Avr_Chroma: 7.1958 
Avr_L: 14.7384    Avr_b: 2.9491   Avr_Chroma: 8.4933 
Avr_L: 15.2726    Avr_b: 2.3759   Avr_Chroma: 7.1255 
Avr_L: 15.1612    Avr_b: 5.2469   Avr_Chroma: 8.8512 
Avr_L: 15.0618    Avr_b: 3.8199   Avr_Chroma: 8.5140 
Avr_L: 17.0599    Avr_b: 5.2131   Avr_Chroma: 9.0174 
